cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
5tkvsudh,9d4e3e8eb092d5ed282d0aa4aadcaa8b7165b5e9,PMC,Conservation of polyamine regulation by translational frameshifting from yeast to mammals,10.1093/emboj/19.8.1907,PMC302018,10775274,no-cc,"Regulation of ornithine decarboxylase in vertebrates involves a negative feedback mechanism requiring the protein antizyme. Here we show that a similar mechanism exists in the fission yeast Schizosaccharomyces pombe. The expression of mammalian antizyme genes requires a specific +1 translational frameshift. The efficiency of the frameshift event reflects cellular polyamine levels creating the autoregulatory feedback loop. As shown here, the yeast antizyme gene and several newly identified antizyme genes from different nematodes also require a ribosomal frameshift event for their expression. Twelve nucleotides around the frameshift site are identical between S.pombe and the mammalian counterparts. The core element for this frameshifting is likely to have been present in the last common ancestor of yeast, nematodes and mammals.",17-04-2000,"Ivanov, Ivaylo P.; Matsufuji, Senya; Murakami, Yasuko; Gesteland, Raymond F.; Atkins, John F.",EMBO J,,,,document_parses/pdf_json/9d4e3e8eb092d5ed282d0aa4aadcaa8b7165b5e9.json,document_parses/pmc_json/PMC302018.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC302018/,
6lvn10f4,14e0cac6e86d62859e6c9f1351ab67466d89e5b3,PMC,Heterogeneous nuclear ribonucleoprotein A1 regulates RNA synthesis of a cytoplasmic virus,10.1093/emboj/19.17.4701,PMC302072,10970862,green-oa,"Heterogeneous nuclear ribonucleoprotein (hnRNP A1) is involved in pre-mRNA splicing in the nucleus and translational regulation in the cytoplasm. In the present study, we demonstrate that hnRNP A1 also participates in the transcription and replication of a cytoplasmic RNA virus, mouse hepatitis virus (MHV). Overexpression of hnRNP A1 accelerated the kinetics of viral RNA synthesis, whereas the expression in the cytoplasm of a dominant-negative hnRNP A1 mutant that lacks the nuclear transport domain significantly delayed it. The hnRNP A1 mutant caused a global inhibition of viral mRNA transcription and genomic replication, and also a preferential inhibition of the replication of defective-interfering RNAs. Similar to the wild-type hnRNP A1, the hnRNP A1 mutant complexed with an MHV polymerase gene product, the nucleocapsid protein and the viral RNA. However, in contrast to the wild-type hnRNP A1, the mutant protein failed to bind a 250 kDa cellular protein, suggesting that the recruitment of cellular proteins by hnRNP A1 is important for MHV RNA synthesis. Our findings establish the importance of cellular factors in viral RNA-dependent RNA synthesis.",01-09-2000,"Shi, Stephanie T.; Huang, Peiyong; Li, Hsin-Pai; Lai, Michael M.C.",The EMBO Journal,,,,document_parses/pdf_json/14e0cac6e86d62859e6c9f1351ab67466d89e5b3.json,document_parses/pmc_json/PMC302072.xml.json,http://europepmc.org/articles/pmc302072?pdf=render,
tvxpckxo,d09b79026117ec9faebba46a8d13aa9b23ec751e,PMC,A Method to Identify p62's UBA Domain Interacting Proteins,10.1251/bpo66,PMC302190,14702098,no-cc,"The UBA domain is a conserved sequence motif among polyubiquitin binding proteins. For the first time, we demonstrate a systematic, high throughput approach to identification of UBA domain-interacting proteins from a proteome-wide perspective. Using the rabbit reticulocyte lysate in vitro expression cloning system, we have successfully identified eleven proteins that interact with p62â€™s UBA domain, and the majority of the eleven proteins are associated with neurodegenerative disorders, such as Alzheimerâ€™s disease. Therefore, p62 may play a novel regulatory role through its UBA domain. Our approach provides an easy route to the characterization of UBA domain interacting proteins and its application will unfold the important roles that the UBA domain plays.",12-12-2003,"Pridgeon, Julia W.; Geetha, Thangiah; Wooten, Marie W.",Biol Proced Online,,,,document_parses/pdf_json/d09b79026117ec9faebba46a8d13aa9b23ec751e.json,document_parses/pmc_json/PMC302190.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC302190/,
mcuixluu,44102e3e69e70ad2a73e753133283334ce1f8736,PMC,Vaccinia virus infection disrupts microtubule organization and centrosome function,10.1093/emboj/19.15.3932,PMC306617,10921875,green-oa,"We examined the role of the microtubule cytoskeleton during vaccinia virus infection. We found that newly assembled virus particles accumulate in the vicinity of the microtubule-organizing centre in a microtubule- and dyneinâ€“dynactin complex-dependent fashion. Microtubules are required for efficient intracellular mature virus (IMV) formation and are essential for intracellular enveloped virus (IEV) assembly. As infection proceeds, the microtubule cytoskeleton becomes dramatically reorganized in a fashion reminiscent of overexpression of microtubule-associated proteins (MAPs). Consistent with this, we report that the vaccinia proteins A10L and L4R have MAP-like properties and mediate direct binding of viral cores to microtubules in vitro. In addition, vaccinia infection also results in severe reduction of proteins at the centrosome and loss of centrosomal microtubule nucleation efficiency. This represents the first example of viral-induced disruption of centrosome function. Further studies with vaccinia will provide insights into the role of microtubules during viral pathogenesis and regulation of centrosome function.",01-08-2000,"Ploubidou, Aspasia; Moreau, Violaine; Ashman, Keith; Reckmann, Inge; GonzÃ¡lez, Cayetano; Way, Michael",The EMBO Journal,,,,document_parses/pdf_json/44102e3e69e70ad2a73e753133283334ce1f8736.json,document_parses/pmc_json/PMC306617.xml.json,http://europepmc.org/articles/pmc306617?pdf=render,
6iu1dtyl,6e8517cb25ff228cb48da90a9c97d9c274dc8031,PMC,The site of origin of the 1918 influenza pandemic and its public health implications,10.1186/1479-5876-2-3,PMC340389,14733617,no-cc,,20-01-2004,"Barry, John M",J Transl Med,,,,document_parses/pdf_json/6e8517cb25ff228cb48da90a9c97d9c274dc8031.json,document_parses/pmc_json/PMC340389.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC340389/,
t35n7bk9,30a4842a2e257f725cc041e32fd682c495111a50,PMC,"Multi-faceted, multi-versatile microarray: simultaneous detection of many viruses and their expression profiles",10.1186/1742-4690-1-11,PMC420498,15169556,no-cc,"There are hundreds of viruses that infect different human organs and cause diseases. Some fatal emerging viral infections have become serious public health issues worldwide. Early diagnosis and subsequent treatment are therefore essential for fighting viral infections. Current diagnostic techniques frequently employ polymerase chain reaction (PCR)-based methods to quickly detect the pathogenic viruses and establish the etiology of the disease or illness. However, the fast PCR method suffers from many drawbacks such as a high false-positive rate and the ability to detect only one or a few gene targets at a time. Microarray technology solves the problems of the PCR limitations and can be effectively applied to all fields of molecular medicine. Recently, a report in Retrovirology described a multi-virus DNA array that contains more than 250 open reading frames from eight human viruses including human immunodeficiency virus type 1. This array can be used to detect multiple viral co-infections in cells and in vivo. Another benefit of this kind of multi-virus array is in studying promoter activity and viral gene expression and correlating such readouts with the progression of disease and reactivation of latent infections. Thus, the virus DNA-chip development reported in Retrovirology is an important advance in diagnostic application which could be a potent clinical tool for characterizing viral co-infections in AIDS as well as other patients.",26-05-2004,"Shieh, Biehuoy; Li, Ching",Retrovirology,,,,document_parses/pdf_json/30a4842a2e257f725cc041e32fd682c495111a50.json,document_parses/pmc_json/PMC420498.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC420498/,
eiqypt0m,6a8ac55ea2a1fbd99deb683e24dd986e55e707b3,PMC,Herpes simplex virus type 1 and normal protein permeability in the lungs of critically ill patients: a case for low pathogenicity?,10.1186/cc2850,PMC468896,15153242,no-cc,"INTRODUCTION: The pathogenicity of late respiratory infections with herpes simplex virus type 1 (HSV-1) in the critically ill is unclear. METHODS: In four critically ill patients with persistent pulmonary infiltrates of unknown origin and isolation of HSV-1 from tracheal aspirate or bronchoalveolar lavage fluid, at 7 (1â€“11) days after start of mechanical ventilatory support, a pulmonary leak index (PLI) for (67)Gallium ((67)Ga)-transferrin (upper limit of normal 14.1 Ã— 10(-3)/min) was measured. RESULTS: The PLI ranged between 7.5 and 14.0 Ã— 10(-3)/min in the study patients. Two patients received a course of acyclovir and all survived. CONCLUSIONS: The normal capillary permeability observed in the lungs argues against pathogenicity of HSV-1 in the critically ill, and favors that isolation of the virus reflects reactivation in the course of serious illness and immunodepresssion, rather than primary or superimposed infection in the lungs.",31-03-2004,"Verheij, Joanne; Groeneveld, AB Johan; Beishuizen, Albertus; Lingen, Arthur van; Simoons-Smit, Alberdina M; van Schijndel, Rob JM Strack",Crit Care,,,,document_parses/pdf_json/6a8ac55ea2a1fbd99deb683e24dd986e55e707b3.json,document_parses/pmc_json/PMC468896.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC468896/,
sgmk96vr,367af6bb9a8bbda02206506a819656bb6f14ce4c,PMC,Logistics of community smallpox control through contact tracing and ring vaccination: a stochastic network model,10.1186/1471-2458-4-34,PMC520756,15298713,cc-by,"BACKGROUND: Previous smallpox ring vaccination models based on contact tracing over a network suggest that ring vaccination would be effective, but have not explicitly included response logistics and limited numbers of vaccinators. METHODS: We developed a continuous-time stochastic simulation of smallpox transmission, including network structure, post-exposure vaccination, vaccination of contacts of contacts, limited response capacity, heterogeneity in symptoms and infectiousness, vaccination prior to the discontinuation of routine vaccination, more rapid diagnosis due to public awareness, surveillance of asymptomatic contacts, and isolation of cases. RESULTS: We found that even in cases of very rapidly spreading smallpox, ring vaccination (when coupled with surveillance) is sufficient in most cases to eliminate smallpox quickly, assuming that 95% of household contacts are traced, 80% of workplace or social contacts are traced, and no casual contacts are traced, and that in most cases the ability to trace 1â€“5 individuals per day per index case is sufficient. If smallpox is assumed to be transmitted very quickly to contacts, it may at times escape containment by ring vaccination, but could be controlled in these circumstances by mass vaccination. CONCLUSIONS: Small introductions of smallpox are likely to be easily contained by ring vaccination, provided contact tracing is feasible. Uncertainties in the nature of bioterrorist smallpox (infectiousness, vaccine efficacy) support continued planning for ring vaccination as well as mass vaccination. If initiated, ring vaccination should be conducted without delays in vaccination, should include contacts of contacts (whenever there is sufficient capacity) and should be accompanied by increased public awareness and surveillance.",06-08-2004,"Porco, Travis C; Holbrook, Karen A; Fernyak, Susan E; Portnoy, Diane L; Reiter, Randy; AragÃ³n, TomÃ¡s J",BMC Public Health,,,,document_parses/pdf_json/367af6bb9a8bbda02206506a819656bb6f14ce4c.json,document_parses/pmc_json/PMC520756.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC520756/,
di0fcy0j,4df2c6eecb985fcb20da3c5ed46e3b910c7077ab,PMC,Protection of pulmonary epithelial cells from oxidative stress by hMYH adenine glycosylase,10.1186/1465-9921-5-16,PMC521691,15450125,cc-by,"BACKGROUND: Oxygen toxicity is a major cause of lung injury. The base excision repair pathway is one of the most important cellular protection mechanisms that responds to oxidative DNA damage. Lesion-specific DNA repair enzymes include hOgg1, hMYH, hNTH and hMTH. METHODS: The above lesion-specific DNA repair enzymes were expressed in human alveolar epithelial cells (A549) using the pSF91.1 retroviral vector. Cells were exposed to a 95% oxygen environment, ionizing radiation (IR), or H(2)O(2). Cell growth analysis was performed under non-toxic conditions. Western blot analysis was performed to verify over-expression and assess endogenous expression under toxic and non-toxic conditions. Statistical analysis was performed using the paired Student's t test with significance being accepted for p < 0.05. RESULTS: Cell killing assays demonstrated cells over-expressing hMYH had improved survival to both increased oxygen and IR. Cell growth analysis of A549 cells under non-toxic conditions revealed cells over-expressing hMYH also grow at a slower rate. Western blot analysis demonstrated over-expression of each individual gene and did not result in altered endogenous expression of the others. However, it was observed that O(2 )toxicity did lead to a reduced endogenous expression of hNTH in A549 cells. CONCLUSION: Increased expression of the DNA glycosylase repair enzyme hMYH in A549 cells exposed to O(2 )and IR leads to improvements in cell survival. DNA repair through the base excision repair pathway may provide an alternative way to offset the damaging effects of O(2 )and its metabolites.",27-09-2004,"Kremer, Ted M; Rinne, Mikael L; Xu, Yi; Chen, Xian Ming; Kelley, Mark R",Respir Res,,,,document_parses/pdf_json/4df2c6eecb985fcb20da3c5ed46e3b910c7077ab.json,document_parses/pmc_json/PMC521691.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC521691/,
4k8f7ou1,83b05e8afa6cbe7a68170ee155f7eca37c91d51f,PMC,Bioinformatic mapping of AlkB homology domains in viruses,10.1186/1471-2164-6-1,PMC544882,15627404,cc-by,"BACKGROUND: AlkB-like proteins are members of the 2-oxoglutarate- and Fe(II)-dependent oxygenase superfamily. In Escherichia coli the protein protects RNA and DNA against damage from methylating agents. 1-methyladenine and 3-methylcytosine are repaired by oxidative demethylation and direct reversal of the methylated base back to its unmethylated form. Genes for AlkB homologues are widespread in nature, and Eukaryotes often have several genes coding for AlkB-like proteins. Similar domains have also been observed in certain plant viruses. The function of the viral domain is unknown, but it has been suggested that it may be involved in protecting the virus against the post-transcriptional gene silencing (PTGS) system found in plants. We wanted to do a phylogenomic mapping of viral AlkB-like domains as a basis for analysing functional aspects of these domains, because this could have some relevance for understanding possible alternative roles of AlkB homologues e.g. in Eukaryotes. RESULTS: Profile-based searches of protein sequence libraries showed that AlkB-like domains are found in at least 22 different single-stranded RNA positive-strand plant viruses, but mainly in a subgroup of the Flexiviridae family. Sequence analysis indicated that the AlkB domains probably are functionally conserved, and that they most likely have been integrated relatively recently into several viral genomes at geographically distinct locations. This pattern seems to be more consistent with increased environmental pressure, e.g. from methylating pesticides, than with interaction with the PTGS system. CONCLUSIONS: The AlkB domain found in viral genomes is most likely a conventional DNA/RNA repair domain that protects the viral RNA genome against methylating compounds from the environment.",03-01-2005,"Bratlie, Marit S; DrablÃ¸s, Finn",BMC Genomics,,,,document_parses/pdf_json/83b05e8afa6cbe7a68170ee155f7eca37c91d51f.json,document_parses/pmc_json/PMC544882.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC544882/,
wnnsmx60,025339bfce1cb8efa81c5accdabefe04dcdac9d2,PMC,Managing emerging infectious diseases: Is a federal system an impediment to effective laws?,10.1186/1743-8462-1-7,PMC544965,15679928,cc-by,"In the 1980's and 1990's HIV/AIDS was the emerging infectious disease. In 2003â€“2004 we saw the emergence of SARS, Avian influenza and Anthrax in a man made form used for bioterrorism. Emergency powers legislation in Australia is a patchwork of Commonwealth quarantine laws and State and Territory based emergency powers in public health legislation. It is time for a review of such legislation and time for consideration of the efficacy of such legislation from a country wide perspective in an age when we have to consider the possibility of mass outbreaks of communicable diseases which ignore jurisdictional boundaries.",19-11-2004,"Howse, Genevieve",Aust New Zealand Health Policy,,,,document_parses/pdf_json/025339bfce1cb8efa81c5accdabefe04dcdac9d2.json,document_parses/pmc_json/PMC544965.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC544965/,
